Time,Port Aileron,Starboard Aileron,Port Flap,Starboard Flap,Elevator,Rudder,Roll,Pitch,Yaw
1732897834.64333,0,0,0,0,0,-5,,,
1732897834.696577,0,0,0,0,0,-40,,,
1732897834.7475772,0,0,0,0,0,-40,,,
1732897834.7987578,0,0,0,0,0,-40,,,
1732897834.850357,0,0,0,0,0,-40,,,
1732897834.901685,0,0,0,0,0,-40,,,
1732897834.952752,0,0,0,0,0,2,,,
1732897835.0033128,0,0,0,0,0,40,,,
1732897835.054179,0,0,0,0,0,40,,,
1732897835.105348,0,0,0,0,0,40,,,
1732897835.156466,0,0,0,0,0,40,,,
1732897835.2084339,0,0,0,0,0,40,,,
1732897835.259723,0,0,0,0,0,40,,,
1732897835.31926,0,0,0,0,0,38,,,
1732897835.370015,0,0,0,0,0,20,,,
1732897835.421283,0,0,0,0,0,12,,,
1732897835.47206,0,0,0,0,0,12,,,
1732897835.5234072,0,0,0,0,0,15,,,
1732897835.574487,0,0,0,0,0,26,,,
1732897835.626179,0,0,0,0,0,31,,,
1732897835.68166,0,0,0,0,0,26,,,
1732897835.732459,0,0,0,0,0,21,,,
1732897835.783194,0,0,0,0,0,21,,,
1732897835.8349628,0,0,0,0,0,21,,,
1732897835.886837,0,0,0,0,0,21,,,
1732897835.938654,0,0,0,0,0,21,,,
1732897835.990575,0,0,0,0,0,21,,,
1732897836.0429618,0,0,0,0,0,21,,,
1732897836.095594,0,0,0,0,0,21,,,
1732897836.148009,0,0,0,0,0,21,,,
1732897836.2001479,0,0,0,0,0,21,,,
1732897836.252477,0,0,0,0,0,21,,,
1732897836.305253,0,0,0,0,0,21,,,
1732897836.358123,0,0,0,0,0,21,,,
1732897836.410662,0,0,0,0,0,21,,,
1732897836.4648662,0,0,0,0,0,21,,,
1732897836.517428,0,0,0,0,0,21,,,
1732897836.570055,0,0,0,0,0,21,,,
1732897836.6223161,0,0,0,0,0,21,,,
1732897836.674519,0,0,0,0,0,21,,,
1732897836.726819,0,0,0,0,0,21,,,
1732897836.7790878,0,0,0,0,0,21,,,
1732897836.831717,0,0,0,0,0,21,,,
1732897836.883662,0,0,0,0,0,21,,,
1732897836.935637,0,0,0,0,0,21,,,
1732897836.987285,0,0,0,0,0,21,,,
1732897837.0387468,0,0,0,0,0,21,,,
1732897837.090333,0,0,0,0,0,21,,,
1732897837.141875,0,0,0,0,0,21,,,
1732897837.19249,0,0,0,0,0,21,,,
1732897837.244181,0,0,0,0,0,21,,,
1732897837.296418,0,0,0,0,0,21,,,
1732897837.348701,0,0,0,0,0,21,,,
1732897837.400924,0,0,0,0,0,21,,,
1732897837.45314,0,0,0,0,0,21,,,
1732897837.505362,0,0,0,0,0,21,,,
1732897837.557539,0,0,0,0,0,21,,,
1732897837.60983,0,0,0,0,0,21,,,
1732897837.662234,0,0,0,0,0,21,,,
1732897837.714699,0,0,0,0,0,21,,,
1732897837.766131,0,0,0,0,0,21,,,
1732897837.818296,0,0,0,0,0,21,,,
1732897837.8706439,0,0,0,0,0,21,,,
1732897837.9231648,0,0,0,0,0,21,,,
1732897837.9755871,0,0,0,0,0,21,,,
1732897838.027804,0,0,0,0,0,21,,,
1732897838.07979,0,0,0,0,0,21,,,
1732897838.132192,0,0,0,0,0,21,,,
1732897838.184688,0,0,0,0,0,21,,,
1732897838.2370749,0,0,0,0,0,21,,,
1732897838.2894561,0,0,0,0,0,21,,,
1732897838.341577,0,0,0,0,0,21,,,
1732897838.393666,0,0,0,0,0,21,,,
1732897838.4460611,0,0,0,0,0,21,,,
1732897838.4988291,0,0,0,0,0,21,,,
1732897838.550694,0,0,0,0,0,21,,,
1732897838.6026611,0,0,0,0,0,21,,,
1732897838.655329,0,0,0,0,0,21,,,
1732897838.7078059,0,0,0,0,0,21,,,
1732897838.760324,0,0,0,0,0,21,,,
1732897838.812932,0,0,0,0,0,21,,,
1732897838.8658571,0,0,0,0,0,21,,,
1732897838.91852,0,0,0,0,0,21,,,
1732897838.971475,0,0,0,0,0,21,,,
1732897839.023971,0,0,0,0,0,21,,,
1732897839.076403,0,0,0,0,0,21,,,
1732897839.128453,0,0,0,0,0,21,,,
1732897839.181068,0,0,0,0,0,21,,,
1732897839.233867,0,0,0,0,0,21,,,
1732897839.286496,0,0,0,0,0,21,,,
1732897839.3390331,0,0,0,0,0,21,,,
1732897839.3919559,0,0,0,0,0,21,,,
1732897839.444625,0,0,0,0,0,21,,,
1732897839.49649,0,0,0,0,0,21,,,
1732897839.549264,0,0,0,0,0,21,,,
1732897839.6020422,0,0,0,0,0,21,,,
1732897839.654753,0,0,0,0,0,21,,,
1732897839.707068,0,0,0,0,0,21,,,
1732897839.7596009,0,0,0,0,0,21,,,
1732897839.8119879,0,0,0,0,0,21,,,
1732897839.8646982,0,0,0,0,0,21,,,
1732897839.9170759,0,0,0,0,0,21,,,
1732897839.969873,0,0,0,0,0,21,,,
1732897840.0225558,0,0,0,0,0,21,,,
